id,groups,number_of_messages,texts,text_ratio,midia,midia_ratio,virals,viral_ratio,repeated_messages,repeated_messages_ratio,days_active,daily_mean,daily_std,daily_median,daily_95,daily_outliers,daily_max,degree_centrality,strenght,viral_degree_centrality,viral_strenght,disinformer,group_list
"-9,22273597362828E+018",1,3,0,0.0,3,1.0,0,0.0,0,0.0,1,3.0,,3.0,3.0,0,3,166,498,0,0,0,[{'2018_55': 3}]
"-9,22029755863252E+018",1,53,17,0.320754716981132,36,0.6792452830188679,6,0.1132075471698113,0,0.0,89,0.5955056179775281,1.1650117159340214,0.0,3.0,3,6,53,2809,53,318,0,[{'2018_18': 53}]
"-9,21884668569257E+018",1,243,226,0.9300411522633744,17,0.0699588477366255,2,0.0082304526748971,10,0.0442477876106194,56,4.339285714285714,8.9570222034584,0.0,20.5,3,45,306,74358,306,612,0,[{'2018_39': 243}]
"-9,21658232833387E+018",1,298,130,0.436241610738255,168,0.5637583892617449,13,0.0436241610738255,9,0.0692307692307692,20,14.9,13.130518889815038,12.0,36.10000000000001,1,57,140,41720,140,1820,0,[{'2018_49': 298}]
"-9,21541716508312E+018",1,1,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,,1.0,1.0,0,1,200,200,0,0,0,[{'2018_12': 1}]
"-9,21395272655402E+018",2,17,14,0.8235294117647058,3,0.1764705882352941,0,0.0,3,0.2142857142857142,75,0.2266666666666666,0.6056788314336626,0.0,2.0,1,3,492,5382,0,0,0,"[{'2018_42': 16}, {'2018_55': 1}]"
"-9,20858480854013E+018",1,1,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,,1.0,1.0,0,1,273,273,0,0,0,[{'2018_57': 1}]
"-9,20175556461356E+018",1,98,38,0.3877551020408163,60,0.6122448979591837,13,0.1326530612244898,0,0.0,89,1.101123595505618,2.132246701466366,0.0,4.599999999999994,5,16,53,5194,53,689,0,[{'2018_18': 98}]
"-9,20148574079598E+018",1,5,3,0.6,2,0.4,1,0.2,0,0.0,1,5.0,,5.0,5.0,0,5,165,825,165,165,0,[{'2018_24': 5}]
"-9,19774860693082E+018",1,1,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,,1.0,1.0,0,1,57,57,0,0,0,[{'2018_7': 1}]
"-9,19246742884637E+018",1,2,1,0.5,1,0.5,0,0.0,0,0.0,1,2.0,,2.0,2.0,0,2,148,296,0,0,0,[{'2018_17': 2}]
"-9,18729029844596E+018",2,14,14,1.0,0,0.0,0,0.0,0,0.0,53,0.2641509433962264,1.521018679350054,0.0,1.0,1,11,494,3222,0,0,0,"[{'2018_39': 5}, {'2018_9': 9}]"
"-9,17250606709497E+018",1,28,23,0.8214285714285714,5,0.1785714285714285,2,0.0714285714285714,0,0.0,45,0.6222222222222222,1.3699517059983095,0.0,3.799999999999997,3,6,308,8624,308,616,0,[{'2018_33': 28}]
"-9,16653476045966E+018",8,964,640,0.6639004149377593,324,0.3360995850622407,564,0.5850622406639004,497,0.7765625,44,21.90909090909091,20.15730946172453,21.0,59.400000000000006,3,73,1260,169073,1260,96342,1,"[{'2018_17': 131}, {'2018_2': 118}, {'2018_24': 118}, {'2018_33': 185}, {'2018_36': 120}, {'2018_52': 139}, {'2018_55': 133}, {'2018_8': 20}]"
"-9,16526175228861E+018",1,1,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,,1.0,1.0,0,1,110,110,0,0,0,[{'2018_3': 1}]
"-9,16089407609073E+018",1,1,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,,1.0,1.0,0,1,273,273,0,0,0,[{'2018_57': 1}]
"-9,15887472028564E+018",1,4,3,0.75,1,0.25,0,0.0,0,0.0,20,0.2,0.523148363780597,0.0,1.0500000000000007,1,2,273,1092,0,0,0,[{'2018_57': 4}]
"-9,15674818223322E+018",1,23,14,0.6086956521739131,9,0.391304347826087,0,0.0,0,0.0,79,0.2911392405063291,1.1226331082540413,0.0,2.0,1,9,302,6946,0,0,0,[{'2018_6': 23}]
